workshop_id,weight,rule
1482980898,1.000000,"0-2000 blocks, one in 1"
1483187777,1.000000,"0-2000 blocks, one in 1"
1483747444,1.000000,"0-2000 blocks, one in 1"
1484314975,1.000000,"0-2000 blocks, one in 1"
1486134936,1.000000,"0-2000 blocks, one in 1"
1486674000,1.000000,"0-2000 blocks, one in 1"
1486674716,1.000000,"0-2000 blocks, one in 1"
1486674965,1.000000,"0-2000 blocks, one in 1"
1487654679,1.000000,"0-2000 blocks, one in 1"
1487654911,1.000000,"0-2000 blocks, one in 1"
1488741673,1.000000,"0-2000 blocks, one in 1"
1490014841,1.000000,"0-2000 blocks, one in 1"
1491110758,1.000000,"0-2000 blocks, one in 1"
1492327244,1.000000,"0-2000 blocks, one in 1"
1493671698,1.000000,"0-2000 blocks, one in 1"
1494338270,1.000000,"0-2000 blocks, one in 1"
1494968226,1.000000,"0-2000 blocks, one in 1"
1495419909,1.000000,"0-2000 blocks, one in 1"
1496629848,1.000000,"0-2000 blocks, one in 1"
1497600035,1.000000,"0-2000 blocks, one in 1"
1498080949,1.000000,"0-2000 blocks, one in 1"
1501185676,9.992593,"2000-5000 blocks, one in 10"
1503217587,1.000000,"0-2000 blocks, one in 1"
1503899770,1.000000,"0-2000 blocks, one in 1"
1504128095,1.000000,"0-2000 blocks, one in 1"
1508777293,1.000000,"0-2000 blocks, one in 1"
1508777851,1.000000,"0-2000 blocks, one in 1"
1508778241,1.000000,"0-2000 blocks, one in 1"
1508778860,1.000000,"0-2000 blocks, one in 1"
1508779271,1.000000,"0-2000 blocks, one in 1"
1508779628,1.000000,"0-2000 blocks, one in 1"
1508779813,1.000000,"0-2000 blocks, one in 1"
1508780065,1.000000,"0-2000 blocks, one in 1"
1508780399,1.000000,"0-2000 blocks, one in 1"
1508780650,1.000000,"0-2000 blocks, one in 1"
1508780876,1.000000,"0-2000 blocks, one in 1"
1508781202,1.000000,"0-2000 blocks, one in 1"
1509076070,1.000000,"0-2000 blocks, one in 1"
1512074447,1.000000,"0-2000 blocks, one in 1"
1512075287,1.000000,"0-2000 blocks, one in 1"
1513533195,1.000000,"0-2000 blocks, one in 1"
1518235911,7.987805,"5000-10000 blocks, one in 8"
1518627807,1.000000,"0-2000 blocks, one in 1"
1518964908,1.000000,"0-2000 blocks, one in 1"
1519452566,1.000000,"0-2000 blocks, one in 1"
1520320871,1.000000,"0-2000 blocks, one in 1"
1521672240,1.000000,"0-2000 blocks, one in 1"
1522507906,1.000000,"0-2000 blocks, one in 1"
1525287565,18.800000,"65000+ blocks, one in 20"
1527286266,1.000000,"0-2000 blocks, one in 1"
1528945477,1.000000,"0-2000 blocks, one in 1"
1532018811,1.000000,"0-2000 blocks, one in 1"
1538668380,1.000000,"0-2000 blocks, one in 1"
1539814248,1.000000,"0-2000 blocks, one in 1"
1540798275,1.000000,"0-2000 blocks, one in 1"
1540799603,1.000000,"0-2000 blocks, one in 1"
